managerID,teamID,managerName,startDate,endDate
491,221,Oscar Brevi,201407,201412
492,221,Massimo Gadda,201310,201406
170,222,Filippo Inzaghi,201906,202106
493,222,Cristian Bucchi,201807,201906
189,222,Roberto De Zerbi,201710,201806
191,222,Marco Baroni,201607,201710
494,222,Gaetano Auteri,201507,201606
495,222,Juan Landaida,201504,201506
496,222,Daniele Cinelli,201504,201506
497,222,Fabio Brini,201401,201504
467,223,Francisco Rodriguez,202006,202106
378,223,Josep Lluis Marti,201910,202006
357,223,Juan Carlos Unzue,201907,201910
131,223,Eusebio Sacristan,201807,201906
122,223,Pablo Machin,201403,201806
498,223,Javi Lopez,201312,201403
499,224,Oswald Tanchot,202009,202106
500,224,Luka Elsner,201907,202009
441,224,Christophe Pelissier,201412,201905
501,224,Samuel Michel,201406,201412
502,224,Olivier Echouafni,201309,201406
425,225,Thierry Laurey,201607,202105
503,225,Jacky Dugueperoux,201403,201606
504,225,Francois Keller,201107,201403
35,227,Neil Warnock,201610,201911
63,227,Ole Gunnar Solskjaer,201401,201409
94,227,Russell Slade,201410,201605
95,227,Paul Trollope,201605,201610
96,227,Neil Harris,201911,202101
97,227,Mick McCarthy,202101,202110
18,228,Claudio Ranieri,201811,201902
79,228,Slavisa Jokanovic,201512,201811
98,228,Felix Magath,201402,201409
99,228,Kit Symons,201409,201511
100,228,Scott Parker,201902,202106
1,229,Paul Lambert,201611,201705
44,229,Nuno Espirito Santo,201705,202106
101,229,Kenny Jackett,201306,201607
102,229,Walter Zenga,201607,201610
235,230,Fabio Liverani,202008,202101
505,230,Roberto D'Aversa,201612,202008
506,230,Luigi Apolloni,201507,201611
171,230,Roberto Donadoni,201201,201506
155,231,Sergio Gonzalez Soriano,201804,202106
507,231,Luis Cesar Sampedro,201707,201804
319,231,Paco Herrera,201607,201706
344,231,Alberto Lopez,201604,201606
364,231,Miguel Angel Portugal,201510,201604
126,231,Gaizka Garitano,201507,201510
153,231,"Joan Francesc Ferrer Sicilia ""Rubi""",201406,201506
485,231,Juan Ignacio Martinez,201306,201405
328,232,"Miguel Angel Sanchez Munoz ""Michel""",201907,202101
467,232,Francisco Rodriguez,201810,201906
509,232,Leo Franco,201807,201810
153,232,"Joan Francesc Ferrer Sicilia ""Rubi""",201707,201806
510,232,Juan Anquela,201511,201706
511,232,Luis Tevenet,201407,201511
512,232,David Navarro,201403,201406
513,232,David Amaral,201309,201403
107,233,Uwe Rosler,202001,202106
514,233,Friedhelm Funkel,201603,202001
515,233,Marco Kurz,201512,201603
516,233,Frank Kramer,201507,201511
517,233,Taskin Aksoy,201502,201506
518,233,Oliver Reck,201403,201502
519,233,Lorenz-Gunther Kostner,201401,201406
520,234,Robert Klaub,202007,202210
228,234,Jens Keller,201911,202006
521,234,Damir Canadi,201905,201911
522,234,Boris Schommers,201902,201906
523,234,Michael Kollner,201703,201902
424,234,Alois Schwartz,201607,201703
422,234,Rene Weiler,201411,201606
300,234,Valerien Ismael,201407,201411
358,234,Roger Prinzen,201404,201406
258,234,Gertjan Verbeek,201310,201404
285,238,Jerome Arpinon,202006,202102
206,238,Bernard Blaquart,201511,202006
340,238,Jose Pasqualetti,201407,201511
335,238,Rene Marsiglia,201312,201506
66,238,Nigel Adkins,201506,201605
103,238,Nigel Clough,201310,201505
104,238,Chris Wilder,201605,202103
217,239,Luis Garcia,202008,202203
149,239,Vicente Moreno,201707,202008
218,239,Sergi Barjuan,201704,201707
219,239,Javier Olaizola,201612,201704
220,239,Fernando Vazquez,201601,201612
222,239,Albert Ferrer,201507,201601
223,239,Miquel Soler,201502,201507
224,239,Valery Karpin,201408,201502
225,239,Lluis Carreras,201306,201405
226,240,Urs Fischer,201807,na
227,240,Andre Hofschneider,201712,201807
228,240,Jens Keller,201606,201712
229,240,Sascha Lewandowski,201509,201606
230,240,Norbert Duwel,201407,201509
450,241,Olivier Dall'Oglio,201905,202105
420,241,Jean-Marc Furlan,201607,201906
327,241,Alex Dupont,201305,201606
173,242,Diego Lopez,202002,na
188,242,Eugenio Corini,201912,202002
231,242,Roberto Boscaglia,201707,201912
232,242,Alessandro Calori,201502,201707
188,243,Eugenio Corini,202008,202205
235,243,Fabio Liverani,201709,202008
236,243,Roberto Rizzo,201707,201709
237,243,Franco Lerda,201309,201707
48,245,Garry Monk,201606,201705
105,245,Darko Milanic,201409,201410
106,245,Neil Redfearn,201411,201506
107,245,Uwe Rosler,201507,201510
108,245,Steve Evans,201510,201605
109,245,Thomas Christiansen,201706,201802
110,245,Paul Heckingbottom,201802,201806
111,245,Marcelo Bielsa,201806,202202
134,245,Brian Mcdermott,201304,201405
135,260,Nenad Bjelica,201406,201511
136,260,Domenico Di Carlo,201511,201706
137,260,Fabio Gallo,201706,201806
138,260,Pasquale Marino,201806,201905
139,260,Vincenzo Italiano,201907,202106
140,261,Antonio Calderon,201407,201411
141,261,Claudio Barragan,201411,201604
142,261,Alvaro Cervera,201604,202201
143,262,Norbert Meier,201402,201606
144,262,Rudiger Rehm,201606,201610
145,262,Carsten Rump,201610,201611
146,262,Jurgen Kramny,201611,201703
145,262,Carsten Rump,201703,201703
147,262,Jeff Saibene,201703,201812
148,262,Uwe Neuhaus,201812,202103
